feature,threshold,precision,recall,f1,TPR,FPR,TNR,FNR,specificity,accuracy
degree_x,138.63636363636365,0.010752688172043012,0.16666666666666666,0.020202020202020204,0.16666666666666666,0.11120064464141821,0.8887993553585818,0.8333333333333334,0.8887993553585818,0.8836
degree_x,141.11111111111111,0.011342155009451797,0.16666666666666666,0.02123893805309735,0.16666666666666666,0.10535858178887994,0.8946414182111201,0.8333333333333334,0.8946414182111201,0.8894
degree_x,143.5858585858586,0.011904761904761904,0.16666666666666666,0.022222222222222223,0.16666666666666666,0.10032232070910556,0.8996776792908945,0.8333333333333334,0.8996776792908945,0.8944
degree_x,146.06060606060606,0.0125,0.16666666666666666,0.023255813953488372,0.16666666666666666,0.09548751007252215,0.9045124899274778,0.8333333333333334,0.9045124899274778,0.8992
degree_x,148.53535353535355,0.01284796573875803,0.16666666666666666,0.023856858846918485,0.16666666666666666,0.09286865431103948,0.9071313456889605,0.8333333333333334,0.9071313456889605,0.9018
degree_x,151.010101010101,0.013544018058690745,0.16666666666666666,0.025052192066805846,0.16666666666666666,0.08803384367445609,0.9119661563255439,0.8333333333333334,0.9119661563255439,0.9066
degree_x,153.4848484848485,0.014018691588785047,0.16666666666666666,0.02586206896551724,0.16666666666666666,0.08501208702659147,0.9149879129734085,0.8333333333333334,0.9149879129734085,0.9096
degree_x,155.95959595959596,0.014457831325301205,0.16666666666666666,0.026607538802660754,0.16666666666666666,0.08239323126510878,0.9176067687348912,0.8333333333333334,0.9176067687348912,0.9122
degree_x,158.43434343434345,0.015113350125944584,0.16666666666666666,0.02771362586605081,0.16666666666666666,0.07876712328767123,0.9212328767123288,0.8333333333333334,0.9212328767123288,0.9158
degree_x,160.9090909090909,0.015463917525773196,0.16666666666666666,0.02830188679245283,0.16666666666666666,0.07695406929895246,0.9230459307010476,0.8333333333333334,0.9230459307010476,0.9176
degree_x,163.3838383838384,0.013736263736263736,0.1388888888888889,0.025,0.1388888888888889,0.07232070910556003,0.92767929089444,0.8611111111111112,0.92767929089444,0.922
degree_x,165.85858585858588,0.014326647564469915,0.1388888888888889,0.025974025974025976,0.1388888888888889,0.0692989524576954,0.9307010475423045,0.8611111111111112,0.9307010475423045,0.925
degree_x,168.33333333333334,0.015337423312883436,0.1388888888888889,0.027624309392265196,0.1388888888888889,0.06466559226430298,0.935334407735697,0.8611111111111112,0.935334407735697,0.9296
degree_x,170.80808080808083,0.016025641025641024,0.1388888888888889,0.028735632183908046,0.1388888888888889,0.06184528605962933,0.9381547139403706,0.8611111111111112,0.9381547139403706,0.9324
degree_x,173.2828282828283,0.017064846416382253,0.1388888888888889,0.0303951367781155,0.1388888888888889,0.05801772763900081,0.9419822723609992,0.8611111111111112,0.9419822723609992,0.9362
degree_x,175.75757575757578,0.014652014652014652,0.1111111111111111,0.02588996763754045,0.1111111111111111,0.05419016921837228,0.9458098307816277,0.8888888888888888,0.9458098307816277,0.9398
degree_x,178.23232323232324,0.015810276679841896,0.1111111111111111,0.02768166089965398,0.1111111111111111,0.05016116035455278,0.9498388396454472,0.8888888888888888,0.9498388396454472,0.9438
degree_x,180.70707070707073,0.01646090534979424,0.1111111111111111,0.028673835125448032,0.1111111111111111,0.04814665592264303,0.951853344077357,0.8888888888888888,0.951853344077357,0.9458
degree_x,183.1818181818182,0.013333333333333334,0.08333333333333333,0.022988505747126436,0.08333333333333333,0.04472199838839645,0.9552780016116036,0.9166666666666666,0.9552780016116036,0.949
degree_x,185.65656565656568,0.009345794392523364,0.05555555555555555,0.016,0.05555555555555555,0.0427074939564867,0.9572925060435133,0.9444444444444444,0.9572925060435133,0.9508
degree_x,188.13131313131314,0.010101010101010102,0.05555555555555555,0.017094017094017096,0.05555555555555555,0.0394842868654311,0.9605157131345688,0.9444444444444444,0.9605157131345688,0.954
