degree,id,pagerank,betweenness_centrality,eigenvector_centrality,katz_centrality
1382,13802,4.9185852e-05,6.265655883908039e-06,0.0055677462,0.0071242573
4056,13803,0.00011841062,5.410092853708193e-05,0.017371334,0.008016135
12,13804,8.250948e-06,1.0259567639891998e-09,1.4223115e-05,0.006653712
9510,13805,0.0003118151,0.002362687373533845,0.027147146,0.009736114
124,13807,1.2451081e-05,1.1297355939632325e-08,0.00012564272,0.006689348
354,13794,3.2416265e-05,7.015269602561602e-06,0.00033342803,0.0067564216
798,13792,3.92121e-05,3.1165543532551965e-06,0.0008648308,0.006898445
354,13806,6.669318e-05,7.618743438797537e-06,2.1565747e-05,0.0067514195
530,17250,2.691723e-05,1.2304268466323265e-06,0.0010590585,0.0068215886
0,17251,7.810017e-06,0.0,7e-45,0.006649862
114,17252,1.2430488e-05,3.990047616753145e-07,0.00018225098,0.006685901
2270,17253,9.490794e-05,6.728972221026197e-05,0.0031682076,0.0073640943
82,17254,2.3290608e-05,1.961876478162594e-05,2.413224e-05,0.0066734725
974,17255,5.083719e-05,5.05867283209227e-05,0.0019375866,0.006961414
3368,17258,9.9363e-05,2.9868526326026767e-05,0.0149929365,0.007792928
1906,17259,7.656507e-05,1.8319253285881132e-05,0.0037099272,0.00725885
504,17260,3.9390456e-05,2.5545901735313237e-05,0.0004591146,0.0068030944
128,17261,1.2709743e-05,2.421125344653774e-08,0.00025447484,0.006691263
2392,17262,0.00010128986,7.038289913907647e-05,0.004463128,0.0074090036
6,17263,8.091085e-06,0.0,1.0717299e-05,0.006651705
2388,17248,8.184582e-05,0.00011628282663878053,0.009167106,0.007454075
988,17256,4.9530136e-05,6.822529940109234e-06,0.0016434061,0.006961223
26,17257,1.6397213e-05,3.1491586582887976e-07,1.9392119e-06,0.0066572763
674,17249,3.0234154e-05,1.5141901712922845e-05,0.0025181992,0.0068775346
204,16176,1.5265374e-05,1.1999592061329167e-05,0.000797323,0.006720097
10822,16177,0.00035561575,0.0022293112706393003,0.031283755,0.010156174
10,16178,8.092851e-06,0.0,4.940191e-05,0.0066533685
4,16179,8.215859e-06,0.0,5.6763815e-06,0.0066510597
0,16180,7.810017e-06,0.0,7e-45,0.006649862
1494,16181,4.754476e-05,2.3719537693978054e-06,0.0076252692,0.0071718004
4,16183,7.925942e-06,0.0,1.6236805e-05,0.006651213
2,16184,7.936482e-06,0.0,1.0122336e-06,0.0066504446
4540,16185,0.00012889325,6.370534538291395e-05,0.01991275,0.0081836805
222,16186,7.0540096e-05,0.0005801240331493318,0.000101691745,0.006714036
0,16187,7.810017e-06,0.0,7e-45,0.006649862
128,16188,1.1337131e-05,1.8925547351500427e-08,0.00056220155,0.006693041
4190,16189,0.00013814622,0.00013451835548039526,0.013691188,0.008038559
8,16190,2.425326e-05,1.9510998754412867e-05,5.617333e-08,0.006652119
1338,16191,4.122353e-05,3.140209230423352e-07,0.007291791,0.0071184803
28,16182,1.2922139e-05,7.971803483997064e-08,6.7653145e-06,0.006657962
2344,14304,8.323075e-05,0.0002600620500743389,0.009949842,0.00743618
180,14305,1.5317992e-05,9.007752055367746e-07,0.00033821334,0.0067080893
4738,14306,0.00013364639,4.865043956669979e-05,0.020311583,0.008236511
2608,14307,7.46311e-05,4.1492594391456805e-06,0.012889729,0.0075438297
1420,14308,6.109311e-05,4.280252323951572e-05,0.0029221468,0.007107027
18,14309,8.471177e-06,0.0,1.1480232e-05,0.006655327
0,14310,7.810017e-06,0.0,7e-45,0.006649862
512,14311,3.083785e-05,1.983470247068908e-05,0.0014647786,0.0068173134
